A,1999-11-15
AAPL,1980-12-08
ADBE,1986-08-11
AMAT,1980-03-16
AMD,1980-03-17
AMGN,1983-06-13
AMZN,1997-05-12
BABA,2014-09-15
BA,1962-01-02
BAC,1973-02-19
BBY,1985-04-15
BPMC,2015-04-27
BRK-B,1996-05-06
CRM,2004-06-23
CRSP,2016-10-16
COST,1986-07-07
DIS,2014-10-27
DQ,2010-10-04
ESGV,2018-09-16
FSLR,2006-11-13
GE,1962-01-02
GOOG,2004-08-16
IBM,1962-01-02
INTC,1980-03-16
IYW,2000-05-15
LL,2007-11-05
LNG,1994-04-04
MA,2006-05-21
MDB,2017-10-15
MSFT,1986-03-10
MU,1984-05-28
NEE,1973-02-19
NIO,2018-09-10
NVDA,1999-01-22
PACB,2010-10-25
PYPL,2015-07-05
QGEN,1996-06-24
RUN,2015-08-02
OKTA,2017-04-03
ORCL,1986-03-10
QCOM,1991-12-09
QQQ,1999-03-08
SRPT,1997-06-02
TGT,1973-02-19
TPIC,2016-07-17
TSLA,2010-06-29
TSM,1997-10-06
V,2008-03-16
VBIV,2002-09-04
VBR,2004-01-26
VIOV,2010-09-06
VGT,2004-01-26
WMT,2014-11-10
XLI,1998-12-21
XLK,1998-12-21
^VIX,1989-12-31
